SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
620,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Shree Samarth Ved Vidyalaya Dhalegaon Dist. Parbhani (Id: C16232),Parbhani,Technical/Polytechnic,53,0,53,10,1,11,1,1,4.82,8.28
621,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Shri Suresh Yogshastra Mahavidyalaya Kamptee (Id: C16217),Nagpur,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
622,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Smt. Kanchantai Bhoyar Mahavidyalaya Hinganghat (Id: C16216),Wardha,Technical/Polytechnic,30,30,60,2,3,5,1,1,12,10.67
623,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),S.P. Bhoyar College Wardha (Id: C16257),Wardha,Technical/Polytechnic,15,26,41,2,14,16,1,0,2.57,4.19
624,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Swami Kuvalyanand Mahavidyalaya Kolhapur (Id: C16222),Kolhapur,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
625,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Swami Vivekananda Shikshan Va Yoga Mahavidyalaya (Id: C16186),Bhandara,Teacher Training,34,4,38,4,0,4,0,1,9.5,6.5
626,Maharashtra,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya Ramtek (Id: U0310),Swami Vivekananda Shikshan Va Yoga Mahavidyalaya Sakoli (Id: C16186),Bhandara,Teacher Training,34,4,38,4,0,4,0,1,9.5,6.5
627,Maharashtra,Maharashtra University of Health Sciences Nashik (Id: U0313),Chaitany Welfare Charitable Trust s Bhakti Vedant Hospitals Institute of Nursing (P.B.B.Sc.) Meera Road (E) Dist. Thane (Id: C13737),Thane,Nursing,0,0,0,0,0,0,0,1,0,3.34
628,Maharashtra,Maharashtra University of Health Sciences Nashik (Id: U0313),Dnyanpath Bahuuddeshiya Shikshan Prasarak Mandals Suretech College of Nursing (B.Sc.) Jamtha Tal. Dist. Nagpur (Id: C13757),Nagpur,Nursing,0,0,0,0,0,0,0,1,0,3.34
629,Maharashtra,Mumbai University Mumbai (Id: U0318),Abhay Shikshan Kendras Krantijyoti Savitribai Phule College of Bachelor of Education Kannamwar Nagar No. 1 Vikroli (E) Mumbai 400 083 (Id: C33982),Mumbai Suburban,Teacher Training,13,81,94,0,8,8,1,1,11.75,10.59
630,Maharashtra,Mumbai University Mumbai (Id: U0318),Agnel Charitable Trusts Fr Conceicao Rodrigues Institute of Technology Sector 9A Vashi Navi Mumbai 400 703 (Id: C33530),Mumbai,Technical/Polytechnic,1017,470,1487,38,78,116,1,1,12.82,10.94
631,Maharashtra,Mumbai University Mumbai (Id: U0318),Gopaldas Jhamatmal Advani Law College 32nd Road Bandra (West) Mumbai 400 050 (Id: C34113),Mumbai Suburban,Teacher Training,358,445,803,14,15,29,1,0,27.69,12.57
632,Maharashtra,Mumbai University Mumbai (Id: U0318),Mahatma Education Society College of Education Chembur Naka Mumbai 400 071 (Id: C33801),Mumbai Suburban,Teacher Training,3,109,112,3,10,13,0,1,8.62,6.21
633,Maharashtra,Mumbai University Mumbai (Id: U0318),MANDAR EDUCATION SOCIETY’S SOU SHAILAJA SHINDE ARTS SCIENCE COMMERCE COLLEGE RAT0GIRI (Id: C45217),Ratnagiri,Teacher Training,77,33,110,1,9,10,0,0,11,3.67
634,Maharashtra,Mumbai University Mumbai (Id: U0318),National Institute for the Mentally Handicapped Fkat Bi B102 Vasundhara CHS Plot No 1314 Sector 8 Kharghar Navi Mumbai 410 210 (Id: C33642),Mumbai,Teacher Training,24,21,45,7,2,9,1,0,5,5
635,Maharashtra,Mumbai University Mumbai (Id: U0318),Navjeevan Education Societys College of Education (B.Ed.) Malegaon Dahivali Tal Karjat (Id: C33727),Raigarh,Teacher Training,27,52,79,4,3,7,1,1,11.29,10.43
636,Maharashtra,Mumbai University Mumbai (Id: U0318),Sahyadri Shikshan Sansthas B.A. Alias Bhaisaheb Sawant Adhyapak Mahavidyalaya Sawarde Taluka Chiplun Dist. Ratnagiri (Id: C33551),Ratnagiri,Teacher Training,32,55,87,5,2,7,1,0,12.43,7.48
637,Maharashtra,Mumbai University Mumbai (Id: U0318),Shanmukhananda Fine Arts and Sangeetha Sabha Bachelor of Fine Arts (Music) College Sion Mumbai 400 022 (Id: C33657),Mumbai,Teacher Training,5,3,8,0,2,2,0,1,4,4.67
638,Maharashtra,Mumbai University Mumbai (Id: U0318),Shree Narayana Mandir Samitis Sree Narayan Guru College of Education (B.Ed.) at Boria P L Lokhande Marg Chembur Mumbai 400 089 (Id: C33848),Mumbai Suburban,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
639,Maharashtra,Mumbai University Mumbai (Id: U0318),Siddhivinayak Shikshan Prasarak Mandals R B B.Ed. College Ram Nagar Rawate Compound Tembe Pada Road Bhandup (East) Mumbai 400 078 (Id: C34010),Mumbai Suburban,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
640,Maharashtra,North Maharashtra University Jalgaon (Id: U0320),200022K.S.WANI ADVANCED STUDY CENTRE IN MARATHI DHULE. (Id: C8892),Dhule,Technical/Polytechnic,50,0,50,10,0,10,0,1,5,5
641,Maharashtra,North Maharashtra University Jalgaon (Id: U0320),299997SATKARYOTEJAK SABHA'S BHARATIYA VIDYA SANSODHAN KENDRA DHULE. (Id: C9026),Dhule,Technical/Polytechnic,20,13,33,2,1,3,1,1,11,10.34
642,Maharashtra,Pune University Pune (Id: U0323),DR D Y PATIL EDUCATIO0L ENTERPRISES CHARITABLE TRUSTS DR D Y PATIL GROUP OF INSTITUTIONS DR D Y PATIL SCHOOL OF ENGINEERING AND TECHNOLOGY PUNE (Id: C45871),Pune,Technical/Polytechnic,294,41,335,36,23,59,1,1,5.68,8.56
643,Maharashtra,Pune University Pune (Id: U0323),DR D Y PATIL EDUCATIO0L ENTERPRISES CHARITABLE TRUSTS DR D Y PATIL GROUP OF INSTITUTIONS DR D Y PATIL SCHOOL OF ENGINEERING PUNE (Id: C46648),Pune,Technical/Polytechnic,613,194,807,44,18,62,1,0,13.02,7.68
644,Maharashtra,Pune University Pune (Id: U0323),Jagdamba Education Societys S.N.D.College of Education Babhulgaon Tal. Yeola Dist. Nashik 423401 (Id: C41636),Nashik,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
645,Maharashtra,Pune University Pune (Id: U0323),K.E.M. Hospital Institute of Health Care ManagementSardar Mudliyar Marg Pune 411001 (Id: C42207),Pune,Technical/Polytechnic,11,39,50,4,7,11,1,0,4.55,4.85
646,Maharashtra,Pune University Pune (Id: U0323),Maharashtra Education Society's Abasaheb Garware College of Arts and Science Pune 04 (Id: C41477),Pune,Technical/Polytechnic,1815,1710,3525,57,52,109,1,0,32.34,14.12
647,Maharashtra,Pune University Pune (Id: U0323),Rajgad Dnyanpeeths Pharmacy College Bhor Dist. Pune (Id: C41335),Pune,Technical/Polytechnic,53,47,100,11,5,16,1,0,6.25,5.42
648,Maharashtra,Pune University Pune (Id: U0323),Sancheti Institute for Orthopaedics and Rehabilitation Shivajinagar Pune 411005 (Id: C41610),Pune,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
649,Maharashtra,Pune University Pune (Id: U0323),Shri Swarajya Education Societys Swarajya School of Management Krushnabhai Gruharachana Societys Dhankawadi Pune 411043 (Id: C41609),Pune,Technical/Polytechnic,9,3,12,2,1,3,0,0,4,1.34
650,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University Nagpur (Id: U0332),Chintamani B Ed College Ballarpur (Id: C18334),Chandrapur,Teacher Training,48,26,74,8,0,8,0,1,9.25,6.42
651,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University Nagpur (Id: U0332),Kinkar Education College Selu (Id: C18927),Wardha,Teacher Training,34,73,107,3,2,5,1,0,21.4,10.47
652,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University Nagpur (Id: U0332),Mahmud Ali College of Education Kamptee (Id: C18520),Nagpur,Teacher Training,11,88,99,1,5,6,1,0,16.5,8.84
653,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University Nagpur (Id: U0332),Sharadchandra Pawar Arts College Charmoshi (Id: C18606),Gadchiroli,Teacher Training,0,163,163,7,4,11,0,0,14.82,4.94
654,Maharashtra,Sant Gadge Baba Amravati University Amravati (Id: U0324),College of Physical Education Karanja (Lad). (Id: C43211),Washim,Teacher Training,54,4,58,5,0,5,1,0,11.6,7.2
655,Maharashtra,Sant Gadge Baba Amravati University Amravati (Id: U0324),Gunwantrao Deshmush Education College. Pusad (Id: C42987),Yavatmal,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
656,Maharashtra,Sant Gadge Baba Amravati University Amravati (Id: U0324),Jijau Education College Yavatmal (Id: C43001),Yavatmal,Teacher Training,14,56,70,4,2,6,1,0,11.67,7.23
657,Maharashtra,Sant Gadge Baba Amravati University Amravati (Id: U0324),Late Govindrao Patil Education College Darwha. (Id: C42918),Yavatmal,Teacher Training,35,65,100,1,4,5,0,1,20,10
658,Maharashtra,Sant Gadge Baba Amravati University Amravati (Id: U0324),Shinde B.Ed. College Anjani Bu. Mehakar (Id: C43104),Buldana,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
659,Maharashtra,Shivaji University Kolhapur (Id: U0325),Anandi Arts Commerce and Science College Gaganbavada (Id: C11145),Kolhapur,Teacher Training,619,87,706,28,9,37,1,0,19.09,9.7
660,Maharashtra,Shivaji University Kolhapur (Id: U0325),Appasaheb Birnale College of Education (Id: C11126),Sangli,Teacher Training,17,78,95,3,8,11,0,1,8.64,6.22
661,Maharashtra,Shivaji University Kolhapur (Id: U0325),Mahadevrao B.Ed. College Turkewadi (Id: C11213),Kolhapur,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
662,Maharashtra,Shivaji University Kolhapur (Id: U0325),Shikshanshastra Mahavidyalaya VITA (Id: C10992),Sangli,Teacher Training,54,81,135,3,5,8,0,1,16.88,8.96
663,Maharashtra,Shivaji University Kolhapur (Id: U0325),Yashoda Technical campus Faculty of Engineering Wadhe (Id: C11075),Satara,Technical/Polytechnic,13,17,30,1,0,1,1,1,30,16.67
664,Maharashtra,Solapur University Solapur (Id: U0327),PARVATI TAD EDUCATION COLLEGE  MAGALWEDHA TAL.MAGLWADH DISTSOLAPUR (Id: C15685),Solapur,Teacher Training,0,0,0,0,0,0,1,1,0,6.67
665,Maharashtra,Solapur University Solapur (Id: U0327),SHRI VIRATAPSVI CHAN0VIR SHIVACHARY EDUCATION COLLEGE MIDC AKKLKOT ROAD SOLAPUR DISTSOLAPUR (Id: C15702),Solapur,Teacher Training,36,26,62,6,2,8,0,1,7.75,5.92
666,Maharashtra,Solapur University Solapur (Id: U0327),UMA COLLEGE OF EDUCATION COLLEGE PANDHARPUR TAL.PANDHARPUR DISTSOLAPUR (Id: C15773),Solapur,Teacher Training,27,25,52,5,1,6,1,0,8.67,6.23
667,Maharashtra,Swami Ramanand Teerth Marathwada University Nanded (Id: U0328),Manavendra Kendre Adhyapak Mahavidyalaya Jalkot (Id: C7608),Latur,Teacher Training,81,19,100,6,2,8,1,0,12.5,7.5
668,Maharashtra,Swami Ramanand Teerth Marathwada University Nanded (Id: U0328),Pradnya Pratishtan's Adhyaapak MahavidyalayaPurna Road Nanded (Id: C7321),Nanded,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
669,Maharashtra,Swami Ramanand Teerth Marathwada University Nanded (Id: U0328),Shri Shivaji Law College Vasmat Road Parbhani (Id: C7451),Parbhani,Technical/Polytechnic,0,0,0,0,0,0,1,0,0,3.34
670,Manipur,Manipur University Imphal (Id: U0337),Government Polytechnic (Id: C9425),Imphal West,Technical/Polytechnic,285,99,384,24,12,36,0,0,10.67,3.56
671,Meghalaya,North Eastern Hill University Shillong (Id: U0341),College of Teacher Education (PGT) (Id: C16347),East Khasi Hills,Teacher Training,41,55,96,7,11,18,1,0,5.34,5.12
672,Odisha,Biju Patnaik University of Technology Rourkela (Id: U0351),Jeypore College of Pharmacy (JCP) Jeypore (Id: C30073),Gajapati,Technical/Polytechnic,178,48,226,21,6,27,0,1,8.38,6.13
673,Odisha,Sambalpur University Sambalpur (Id: U0362),College of Teacher Education (Id: C43406),Balangir,Teacher Training,52,46,98,2,2,4,0,0,24.5,8.17
674,Punjab,Baba Farid University of Health and Medical Sciences Faridkot (Id: U0371),BABA MANGAL SINGH NURSING INSTITUTE BAR0LA ROAD BUGHIPURA (Id: C49590),Moga,Nursing,73,163,236,7,31,38,0,1,6.22,5.41
675,Punjab,Baba Farid University of Health and Medical Sciences Faridkot (Id: U0371),DAV Institute of Physiotherapy and Rehabilitation MHRM G.T. Road Jalandhar (Id: C29142),Jalandhar,Technical/Polytechnic,0,0,0,0,0,0,0,1,0,3.34
676,Punjab,Baba Farid University of Health and Medical Sciences Faridkot (Id: U0371),University College of Nursing Faridkot (Id: C29137),Faridkot,Nursing,0,0,0,0,0,0,1,0,0,3.34
677,Punjab,Baba Farid University of Health and Medical Sciences Faridkot (Id: U0371),VMS College of Nursing and Paramedical Sciences Said Mubarak Amritsar Road Batala (Id: C29134),Gurdaspur,Nursing,2,53,55,0,7,7,0,0,7.86,2.62
678,Punjab,Guru Nanak Dev University Amritsar (Id: U0376),Govt. College Ajnala (Distt. Amritsar) (Id: C27999),Amritsar,Technical/Polytechnic,287,133,420,8,6,14,0,1,30,13.34
679,Punjab,Punjabi University Patiala (Id: U0383),Desh Bhagat Institute of Management and Computer Sciences Mandi Gobindgarh Fatehgarh Sahib (Id: C22249),Fatehgarh Sahib,Technical/Polytechnic,474,376,850,46,46,92,1,1,9.24,9.75
680,Punjab,Punjabi University Patiala (Id: U0383),Mastermind College of Education Bathinda (Id: C22248),Bathinda,Teacher Training,55,145,200,6,14,20,1,1,10,10
681,Punjab,Punjabi University Patiala (Id: U0383),0VJIVINI INSTITUTE OF SPECIAL EUCATION AND RESEARCH SULAR (Id: C47293),Patiala,Teacher Training,34,37,71,3,10,13,1,0,5.47,5.16
682,Punjab,Punjab Technical University Jalandhar (Id: U0382),Desh Bhagat Foundation gruoup of Institutions Moga (Id: C10367),Moga,Technical/Polytechnic,0,0,0,0,0,0,0,0,0,0
683,Rajasthan,Jagadguru Ramanandacharya Rajasthan Sanskrit University Jaipur (Id: U0397),Shrimati Ramkumari TT College (Id: C26608),Jhunjhunun,Teacher Training,0,0,0,0,0,0,1,0,0,3.34
684,Rajasthan,Jai Narain Vyas University Jodhpur (Id: U0399),Adarsh Mahila Shikshak Prashikshan Mahavidyalaya Bilara (Id: C13120),Jodhpur,Teacher Training,0,792,792,13,4,17,1,1,46.59,22.2
685,Rajasthan,Jai Narain Vyas University Jodhpur (Id: U0399),Peepar Teachers Training College Peepar City (Id: C13046),Jodhpur,Teacher Training,80,19,99,5,5,10,1,1,9.9,9.97
686,Rajasthan,Kota University Kota (Id: U0387),Hitkari Mahila T.T. College Garh Palace Kota (Id: C19476),Kota,Teacher Training,0,118,118,2,7,9,0,1,13.12,7.71
687,Rajasthan,Kota University Kota (Id: U0387),Maharaja Mool Singh Degree College Lakheri Bundi (Id: C19375),Bundi,Technical/Polytechnic,78,161,239,12,2,14,1,1,17.08,12.36
688,Rajasthan,Kota University Kota (Id: U0387),Millinium T.T. College Aklera Jhalawar (Id: C19479),Jhalawar,Teacher Training,77,23,100,3,5,8,1,0,12.5,7.5
689,Rajasthan,Kota University Kota (Id: U0387),Prashanti T.T. College Mahaveer Nagar Kota (Id: C19457),Kota,Teacher Training,0,100,100,0,8,8,0,1,12.5,7.5
690,Rajasthan,Kota University Kota (Id: U0387),Ramanand T.T. CollegeMahaveer Colony Rangpur Road Station Kota (Id: C19357),Kota,Teacher Training,61,39,100,5,4,9,1,1,11.12,10.38
691,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Abhilasha T.T.College Sahwa (Id: C40654),Churu,Teacher Training,159,41,200,13,3,16,0,1,12.5,7.5
692,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Dev T.T. College Taranagar (Id: C40627),Churu,Teacher Training,59,35,94,5,3,8,0,0,11.75,3.92
693,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),India Mahila T.T. College Ratangarh (Id: C40745),Churu,Teacher Training,0,100,100,3,5,8,1,0,12.5,7.5
694,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Kothari T.T. College Sankhan Tal (Id: C40781),Churu,Teacher Training,52,47,99,6,2,8,0,1,12.38,7.46
695,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Maharshi Dayanand B.Ed. College Sriganganagar (Id: C40788),Ganganagar,Teacher Training,50,50,100,3,7,10,0,1,10,6.67
696,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Malaram T.T. College Sankhan Tal (Id: C40792),Churu,Teacher Training,66,26,92,5,3,8,1,1,11.5,10.5
697,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),M.D.M. CoEducation B.Ed. College 12 T.K. Raisinghnagar (Id: C40772),Ganganagar,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
698,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Murtidevi Memorial B.Ed. College Chak 4 SDS Sadulsahshar (Id: C40676),Ganganagar,Teacher Training,118,81,199,6,9,15,1,0,13.27,7.76
699,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Sant Nekiram T.T.College Sitsar (Id: C40780),Churu,Teacher Training,42,29,71,8,4,12,1,1,5.92,8.64
700,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Seth Dharmchand Insttute of Teachers Training Raisinghnagar (Id: C40656),Ganganagar,Teacher Training,62,38,100,4,4,8,1,1,12.5,10.84
701,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Seth Sushil Kumar Bihani S. D. T.T. College (Id: C36657),Ganganagar,Teacher Training,84,108,192,4,7,11,1,1,17.46,12.49
702,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Shubhash Chandra Bose T.T. College Sahwa (Id: C40614),Churu,Teacher Training,60,38,98,4,4,8,1,1,12.25,10.75
703,Rajasthan,Maharaja Ganga Singh University Bikaner (Id: U0406),Tagore Mahila T.T. College Suratgarh (Id: C40742),Ganganagar,Teacher Training,0,100,100,3,5,8,0,1,12.5,7.5
704,Rajasthan,Maharishi Dayanand Saraswati University Ajmer (Id: U0408),Central Academy Teachers Training College (Id: C13064),Ajmer,Teacher Training,138,57,195,1,13,14,1,1,13.93,11.31
705,Rajasthan,Maharishi Dayanand Saraswati University Ajmer (Id: U0408),Peepar Teachers Training College Peepar City (Id: C13046),Jodhpur,Teacher Training,80,19,99,5,5,10,1,0,9.9,6.64
706,Rajasthan,Maharishi Dayanand Saraswati University Ajmer (Id: U0408),Shri Ganesh Chandra T.T. College Jas Nagar Merta City (Id: C30877),Nagaur,Teacher Training,85,15,100,10,1,11,1,0,9.1,6.37
707,Rajasthan,Mohan Lal Sukhadia University Uaipur (Id: U0413),B.N. P.G. GIRLS COLLEGE (Id: C39893),Udaipur,Technical/Polytechnic,0,0,0,0,0,0,1,1,0,6.67
708,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Aditi Vikas Ayurved Nursing Training Centre Sikar (Id: C26211),Sikar,Nursing,27,36,63,6,3,9,1,0,7,5.67
709,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Ambika Vikas Sansthan Ayurved Nursing Training Centre Jodhpur (Id: C26203),Jodhpur,Nursing,59,42,101,8,0,8,1,1,12.63,10.88
710,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Arihan Ayurved Nursing Training Centre Kota (Id: C26237),Kota,Nursing,57,30,87,9,0,9,1,1,9.67,9.89
711,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Ayurved Nursing Training CentreNational Institute Of Ayurveda Jaipur (Id: C26240),Jaipur,Nursing,40,49,89,61,13,74,0,0,1.21,0.41
712,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Baba Narayandas Ayurved Nursing Training Centre Jhunjhunu (Id: C26244),Jhunjhunun,Nursing,27,10,37,6,1,7,0,1,5.29,5.1
713,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Bharti Bal Mandir Samiti Ayurved Nursing Training Centre Jaipur (Id: C26230),Jaipur,Nursing,10,10,20,9,0,9,0,0,2.23,0.75
714,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),B.M. Education Foundation Trust Ayurved Nursing Training Centre Pilani (Id: C26224),Jhunjhunun,Nursing,20,13,33,8,0,8,0,1,4.13,4.71
715,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Choudhary Charansingh Medical S.P.S. Ayurved Nursing TrainingAlwar Centre Alwar (Id: C26227),Alwar,Nursing,77,22,99,10,0,10,0,0,9.9,3.3
716,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Dhanwantri Ayurved Nursing Training Centre Sikar (Id: C26245),Sikar,Nursing,54,40,94,10,0,10,1,1,9.4,9.8
717,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Government Ayurved Nurse Compounder Training Centre Jodhpur (Id: C26220),Jodhpur,Nursing,123,46,169,5,4,9,0,0,18.78,6.26
718,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Government Ayurved Nursing Training Centre and Affilated Hospital Ajmer (Id: C26242),Ajmer,Nursing,89,83,172,4,3,7,1,0,24.58,11.53
719,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),G.T. Ayurved Unani Institute Research Centre Nursing Training Centre Alwar (Id: C26239),Alwar,Nursing,46,33,79,8,1,9,1,0,8.78,6.26
720,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Kala Asram Ayurved Nursing Training Centre Udaipur (Id: C26238),Udaipur,Nursing,20,20,40,7,2,9,1,0,4.45,4.82
721,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Madhuban Shikshan Sansthan Ayurved Nursing TrainingCentre Jodhpur (Id: C26212),Jodhpur,Nursing,52,18,70,5,4,9,0,0,7.78,2.6
722,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Mahatma Jyotiba Phoole Ayurved Nursing Training CentreChaumu (Id: C26216),Jaipur,Nursing,86,34,120,9,1,10,0,1,12,7.34
723,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Marwar Health Care Society Ayurved Nursing Training CentreKuchaman City (Id: C26235),Nagaur,Nursing,62,42,104,10,0,10,1,1,10.4,10.14
724,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Mewar Education Society Ayurved Nursing Training Center Chittorgarh (Id: C26207),Chittaurgarh,Nursing,0,132,132,5,2,7,0,0,18.86,6.29
725,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Naurang Ram Dayanand Dhukiya Ayurved Nursing Training Centre Jhunjhunu (Id: C26205),Jhunjhunun,Nursing,0,0,0,0,0,0,0,0,0,0
726,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Om Shiv Ayurved Nursing Training CentreMangalwad Choraha (Id: C26215),Chittaurgarh,Nursing,12,14,26,7,1,8,1,1,3.25,7.75
727,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Rajeev Gandhi Ayurved Nursing Training CentreHindaun City (Id: C26228),Karauli,Nursing,68,45,113,9,0,9,0,0,12.56,4.19
728,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Rajeev Gandhi Ayurved Nursing Training Centre Kota (Id: C26222),Kota,Nursing,0,0,0,0,0,0,0,0,0,0
729,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Sarvodaya Ayurved Nursing Training Centre Bundi (Id: C26232),Bundi,Nursing,0,0,0,0,0,0,1,1,0,6.67
730,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Shivpyari Ruthala Ayurved Vikas SansthanAyurved Nursing Training CenterNawalgarh (Id: C26225),Jhunjhunun,Nursing,25,15,40,11,0,11,1,1,3.64,7.88
731,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Shri J.R. Tantia Ayurved Nursing Training Centre Shriganganagar (Id: C26209),Ganganagar,Nursing,76,29,105,8,1,9,0,1,11.67,7.23
732,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Shri Ram Ayurved Nursing Training CentreBagrawa Kanota (Id: C26218),Jaipur,Nursing,8,2,10,6,4,10,0,0,1,0.34
733,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Sushrut Ayurved Nursing Training Centre Baran (Id: C26204),Baran,Nursing,79,34,113,9,0,9,1,1,12.56,10.86
734,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Ummed Singh Bhati Ayurved Nursing Training CentreAbu Road (Id: C26214),Sirohi,Nursing,74,29,103,9,0,9,0,0,11.45,3.82
735,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),University Ayurved Nursing Training Centre Jodhpur (Id: C26246),Jodhpur,Nursing,62,37,99,8,4,12,0,0,8.25,2.75
736,Rajasthan,Rajasthan Ayurveda University Jodhpur (Id: U0418),Upchar Medicare Society Ayurved Nursing Training Centre Jaipur (Id: C26219),Jaipur,Nursing,19,9,28,8,1,9,0,1,3.12,4.38
737,Rajasthan,Rajasthan University Jaipur (Id: U0422),Balaji T T College Jhunjhunun (Id: C39142),Jhunjhunun,Teacher Training,46,54,100,8,0,8,0,0,12.5,4.17
